0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,749,0,29032,38834,0,106104,74448,0,40522,14375,0,66969,0,0,0,0,0,0,0,0,0,68337,0,29473,52468,0,6344,5061,0,10228,14206,0,57857,62130,0,99639,46554,0,145447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,336,2876,15077,30433,26567,34746,38226,47878,40604,11893,17444,31804,48305,0,0,0,0,0,0,0,0,0,11280,671,7424,5523,3,0,7399,12404,20245,31474,15316,24179,74097,97536,68926,74358,62905,67145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7012,11502,10343,34021,17291,31351,0,0,0,28741,63650,62212,0,0,0,0,0,0,0,0,0,0,0,7112,0,0,0,6938,16390,23325,23559,22621,26799,0,0,0,79269,59458,13007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7724,0,30151,63987,0,81127,0,0,0,29765,0,84792,0,0,0,0,0,0,0,0,0,0,0,36281,0,0,0,21628,0,15605,16961,0,28349,0,0,0,26467,0,12199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,760,20243,40554,43199,33379,24136,0,0,0,44368,61487,95925,0,0,0,0,0,0,0,0,0,0,11957,14637,0,0,0,20985,9114,7920,10653,18824,27432,0,0,0,65142,40580,25106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,857,1905,2882,2879,835,0,6344,36534,79295,58032,84335,0,0,0,0,0,0,0,0,0,0,10381,10595,44017,36529,47742,34286,5515,8047,17153,31452,10977,11926,28009,53751,91448,51667,36281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1432,3579,0,3226,0,0,37304,52894,0,34028,0,0,0,0,0,0,0,0,0,0,0,18637,20241,0,21713,31069,0,8900,22152,0,16655,36801,0,69409,123867,0,47308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4713,8624,4903,15500,7885,17089,29088,40961,16398,0,0,0,0,0,0,0,0,0,0,0,3081,833,0,458,0,5002,13282,25229,41729,57205,34171,51599,95017,64529,51583,31073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,271,10587,6149,13474,26756,28186,23257,85444,91632,12303,0,5941,21166,65102,46563,36917,56203,4796,1145,0,0,0,0,0,0,0,1177,272,5756,24212,27063,17131,49709,89561,48668,27907,56572,47712,25364,40151,52621,16971,22980,25538,4984,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1916,19388,0,6324,29499,0,27143,70498,0,26401,2939,0,24133,48947,0,17861,13961,0,33103,4238,0,0,0,0,0,0,0,0,448,0,9467,7312,0,113908,88257,0,90191,115067,0,49773,51158,0,31173,5410,0,0,0,0,0,0,0,0,0,0,0
